student_id,attendance,internal_marks,assignment_performance,study_hours
STU001,69.9,75.7,60.1,4.2
STU002,80.3,73.5,91.6,5.5
STU003,55.5,38.4,36.4,2.2
STU004,61.9,54.1,65.5,4.1
STU005,61.4,82.6,74.3,4.3
STU006,82.9,85.8,85.5,5.8
STU007,69.9,79.6,84.1,3.7
STU008,90.4,84.6,99.2,5.5
STU009,43.6,52.5,32.2,1.4
STU010,61.8,51.4,56.0,5.2
STU011,88.5,80.2,76.2,5.4
STU012,82.9,70.8,92.4,5.0
STU013,79.8,41.6,64.5,3.6
STU014,83.4,78.6,77.1,6.0
STU015,81.7,89.7,77.5,6.7
STU016,94.5,88.3,92.7,6.1
STU017,80.8,66.6,80.4,7.2
STU018,64.2,68.5,58.5,4.1
STU019,84.0,84.9,90.3,5.9
STU020,68.1,52.6,65.5,3.0
STU021,62.6,74.8,56.4,3.8
STU022,60.0,62.7,72.6,3.6
STU023,95.3,70.7,89.0,5.3
STU024,60.0,57.5,57.4,5.0
STU025,83.0,81.4,71.9,6.1
STU026,77.4,78.4,68.4,3.2
STU027,85.5,79.3,75.4,3.4
STU028,84.2,93.2,92.7,7.3
STU029,68.8,46.1,63.7,4.2
STU030,85.8,85.2,89.7,5.0
STU031,87.5,84.0,78.2,5.8
STU032,74.9,59.3,62.6,4.4
STU033,45.9,36.8,31.5,3.7
STU034,96.1,89.3,90.6,5.6
STU035,63.9,71.7,70.6,5.8
STU036,76.5,84.4,87.1,6.4
STU037,66.7,84.3,100.0,7.0
STU038,63.4,56.2,59.0,4.9
STU039,75.7,67.0,52.9,3.1
STU040,61.4,30.7,27.9,2.3
STU041,57.0,53.6,35.2,1.9
STU042,54.3,67.8,60.1,4.7
STU043,78.6,82.0,81.9,6.4
STU044,75.0,75.6,87.9,5.2
STU045,65.7,48.2,55.2,3.2
STU046,84.9,82.5,85.7,6.9
STU047,66.7,69.2,55.9,4.3
STU048,63.5,62.7,51.2,4.9
STU049,76.9,97.1,87.8,7.3
STU050,68.8,56.9,67.6,2.6
STU051,46.2,49.1,39.6,1.8
STU052,82.8,79.4,82.1,6.2
STU053,75.0,60.9,56.4,4.1
STU054,87.3,69.6,88.6,5.8
STU055,61.5,62.1,48.9,4.7
STU056,60.8,50.8,79.8,5.3
STU057,58.0,44.1,35.8,2.5
STU058,85.6,72.5,78.7,6.3
STU059,70.7,68.1,70.8,3.2
STU060,75.8,65.3,80.2,4.7
STU061,76.6,83.5,71.1,6.5
STU062,80.5,84.4,89.4,5.8
STU063,87.6,83.4,83.4,4.9
STU064,67.9,69.1,64.9,4.0
STU065,87.5,86.2,78.3,6.4
STU066,91.8,72.2,84.7,6.5
STU067,85.5,56.5,75.1,4.4
